,country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Bahamas,19200.0,20300.0,21300.0,22400.0,23700.0,25100.0,26200.0,27400.0,28400.0,29700.0,27000.0,26700.0,25100.0,26400.0,21500.0,17900.0,18500.0,19700.0,22100.0,27300.0,28500.0,25400.0,26600.0,27000.0,30300.0,31100.0,31100.0,31400.0,31500.0,33000.0,31900.0,29900.0,28200.0,27700.0,28000.0,28700.0,29300.0,30800.0,28900.0,32000.0,32800.0,33200.0,33700.0,32800.0,32600.0,33300.0,33700.0,33700.0,32400.0,30600.0,30700.0,30500.0,31100.0,29900.0,30200.0,30200.0,29700.0,30400.0,30700.0,31100.0,23600.0,26700.0
21,Bosnia and Herzegovina,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,9917.888157894737,9963.716129032258,10140.777070063694,10382.208860759494,10190.19642857143,10179.355029585799,10229.906976744185,10251.85549132948,647.0,785.0,1420.0,1850.0,2100.0,2280.0,2550.0,2610.0,2740.0,2850.0,3060.0,3220.0,3420.0,3670.0,3930.0,3880.0,3980.0,4090.0,4130.0,4300.0,4400.0,4600.0,4800.0,5020.0,5260.0,5480.0,5370.0,5860.0
22,Belarus,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,9917.888157894737,9963.716129032258,10140.777070063694,10382.208860759494,2890.0,2850.0,2570.0,2370.0,2100.0,1890.0,1950.0,2180.0,2370.0,2460.0,2620.0,2750.0,2910.0,3140.0,3520.0,3880.0,4290.0,4680.0,5180.0,5200.0,5620.0,5940.0,6050.0,6110.0,6210.0,5970.0,5810.0,5960.0,6170.0,6260.0,6250.0,6420.0
23,Belize,1560.0,1590.0,1630.0,1660.0,1700.0,1730.0,1760.0,1790.0,1860.0,1900.0,1950.0,1990.0,2160.0,2240.0,2510.0,2560.0,2510.0,2620.0,2770.0,2910.0,3230.0,3190.0,3110.0,2970.0,2960.0,2920.0,2990.0,3230.0,3470.0,3840.0,4190.0,4570.0,5010.0,5220.0,5120.0,5020.0,4920.0,4930.0,4940.0,5200.0,5690.0,5800.0,5900.0,6260.0,6350.0,6300.0,6400.0,6420.0,6150.0,5960.0,5880.0,5740.0,5830.0,5960.0,6070.0,6140.0,6020.0,5810.0,5760.0,5910.0,5040.0,5730.0
24,Bermuda,37900.0,38800.0,39500.0,39000.0,42300.0,43300.0,48600.0,54000.0,54100.0,54900.0,57300.0,59700.0,61200.0,62600.0,63600.0,66500.0,72200.0,76200.0,77000.0,78400.0,83200.0,84600.0,79600.0,80500.0,80200.0,77900.0,82400.0,84800.0,87500.0,87100.0,86400.0,83800.0,84400.0,86400.0,86400.0,89500.0,91300.0,94900.0,97900.0,101000.0,109000.0,116000.0,113000.0,116000.0,118000.0,119000.0,125000.0,129000.0,126000.0,118000.0,116000.0,112000.0,106000.0,105000.0,101000.0,102000.0,102000.0,107000.0,107000.0,107000.0,99700.0,105000.0
25,Bolivia,1280.0,1280.0,1320.0,1380.0,1400.0,1440.0,1510.0,1570.0,1670.0,1710.0,1760.0,1810.0,1910.0,1970.0,1990.0,2090.0,2130.0,2190.0,2180.0,2140.0,2060.0,2020.0,1900.0,1790.0,1750.0,1680.0,1600.0,1610.0,1620.0,1650.0,1690.0,1740.0,1730.0,1770.0,1820.0,1870.0,1910.0,1970.0,2030.0,2000.0,2020.0,2020.0,2030.0,2050.0,2100.0,2150.0,2220.0,2280.0,2380.0,2410.0,2470.0,2560.0,2640.0,2780.0,2880.0,2980.0,3050.0,3140.0,3220.0,3240.0,2920.0,3060.0
26,Brazil,2580.0,2720.0,2810.0,2750.0,2760.0,2750.0,2850.0,2890.0,3100.0,3300.0,3560.0,3870.0,4220.0,4700.0,4960.0,5100.0,5490.0,5630.0,5770.0,6010.0,6420.0,6000.0,5910.0,5610.0,5790.0,6110.0,6430.0,6530.0,6400.0,6480.0,6090.0,6040.0,5910.0,6100.0,6360.0,6520.0,6570.0,6690.0,6610.0,6550.0,6750.0,6750.0,6870.0,6870.0,7180.0,7330.0,7530.0,7910.0,8230.0,8140.0,8670.0,8940.0,9030.0,9220.0,9180.0,8780.0,8430.0,8470.0,8550.0,8590.0,8200.0,8540.0
27,Barbados,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,11600.0,11300.0,11800.0,12100.0,12700.0,13600.0,14100.0,13800.0,13100.0,13100.0,13500.0,13600.0,14300.0,14600.0,15100.0,15700.0,15200.0,14500.0,13700.0,13700.0,14000.0,14200.0,14800.0,15400.0,16000.0,16000.0,16700.0,16300.0,16300.0,16600.0,16800.0,17400.0,18400.0,18700.0,18700.0,17700.0,17200.0,17100.0,17000.0,16700.0,16600.0,17000.0,17400.0,17400.0,17200.0,17200.0,14900.0,14800.0
28,Brunei,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,43500.0,42200.0,49000.0,52600.0,54400.0,64500.0,58100.0,45100.0,45400.0,44100.0,42900.0,40800.0,38400.0,37800.0,37000.0,35400.0,34700.0,34800.0,35400.0,34600.0,34800.0,35500.0,35700.0,34400.0,33400.0,33700.0,34000.0,34200.0,34900.0,35200.0,34800.0,34300.0,35200.0,34700.0,33500.0,32500.0,32800.0,33600.0,33500.0,32299.999999999996,31200.0,30700.0,29600.0,29700.0,29400.0,30300.0,30400.0,29700.0
29,Bhutan,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,394.0,439.0,440.0,471.0,478.0,483.0,522.0,654.0,666.0,695.0,747.0,732.0,796.0,851.0,893.0,944.0,978.0,1010.0,1050.0,1110.0,1120.0,1180.0,1270.0,1340.0,1390.0,1460.0,1540.0,1800.0,1860.0,1960.0,2170.0,2320.0,2410.0,2440.0,2550.0,2700.0,2890.0,3000.0,3070.0,3220.0,2880.0,2980.0
30,Botswana,396.0,412.0,430.0,445.0,464.0,484.0,511.0,537.0,590.0,675.0,783.0,966.0,1180.0,1360.0,1410.0,1450.0,1520.0,1620.0,1760.0,1880.0,2000.0,2080.0,2250.0,2450.0,2570.0,2650.0,2770.0,3000.0,3460.0,3790.0,3930.0,4110.0,4110.0,4070.0,4100.0,4270.0,4410.0,4670.0,4590.0,4920.0,4920.0,4830.0,5030.0,5170.0,5220.0,5360.0,5700.0,5910.0,5980.0,5030.0,5430.0,5680.0,5570.0,6070.0,6290.0,5870.0,6170.0,6290.0,6420.0,6490.0,5810.0,6370.0
31,Central African Republic,584.0,602.0,569.0,554.0,554.0,548.0,540.0,553.0,548.0,574.0,574.0,568.0,557.0,557.0,581.0,572.0,594.0,610.0,611.0,590.0,558.0,543.0,579.0,526.0,570.0,585.0,599.0,562.0,563.0,560.0,531.0,512.0,464.0,451.0,459.0,478.0,447.0,458.0,467.0,470.0,446.0,455.0,461.0,426.0,442.0,436.0,448.0,460.0,460.0,488.0,501.0,514.0,535.0,338.0,339.0,352.0,362.0,372.0,378.0,381.0,375.0,371.0
32,Canada,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,9917.888157894737,9963.716129032258,10140.777070063694,10382.208860759494,10190.19642857143,10179.355029585799,10229.906976744185,10251.85549132948,10365.765714285715,10589.232432432433,10801.481081081081,33900.0,34900.0,36400.0,37900.0,38200.0,38900.0,39300.0,40100.0,41000.0,41600.0,42100.0,42100.0,40400.0,41200.0,42000.0,42300.0,42800.0,43600.0,43600.0,43500.0,44300.0,44900.0,45100.0,42300.0,43900.0
33,Switzerland,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,59900.0,60500.0,59400.0,59500.0,61100.0,63000.0,63900.0,64500.0,66100.0,68400.0,70100.0,68600.0,67800.0,67100.0,67400.0,67300.0,67300.0,68600.0,70500.0,71300.0,73700.0,74400.0,73800.0,73300.0,74700.0,76300.0,78900.0,81300.0,82500.0,79600.0,81300.0,81900.0,82000.0,82500.0,83400.0,83800.0,84600.0,85000.0,86800.0,87100.0,84400.0,87300.0
34,Chile,3290.0,3390.0,3460.0,3590.0,3610.0,3570.0,3900.0,3970.0,4040.0,4130.0,4130.0,4450.0,4330.0,4050.0,4080.0,3500.0,3580.0,3890.0,4130.0,4410.0,4690.0,4930.0,4320.0,4050.0,4150.0,4260.0,4420.0,4630.0,4890.0,5290.0,5380.0,5710.0,6240.0,6550.0,6780.0,7280.0,7670.0,8130.0,8360.0,8240.0,8550.0,8720.0,8900.0,9230.0,9750.0,10200.0,10700.0,11200.0,11500.0,11200.0,11800.0,12400.0,13000.0,13300.0,13400.0,13600.0,13600.0,13600.0,13900.0,13800.0,12800.0,14100.0
35,China,238.0,175.0,164.0,176.0,204.0,233.0,250.0,230.0,215.0,244.0,284.0,295.0,299.0,315.0,316.0,337.0,327.0,347.0,381.0,405.0,431.0,447.0,480.0,524.0,596.0,667.0,716.0,787.0,861.0,884.0,905.0,975.0,1100.0,1240.0,1380.0,1520.0,1650.0,1790.0,1910.0,2040.0,2190.0,2360.0,2560.0,2800.0,3060.0,3390.0,3800.0,4320.0,4710.0,5130.0,5650.0,6150.0,6590.0,7060.0,7530.0,8020.0,8520.0,9050.0,9620.0,10200.0,10400.0,11200.0
36,Cote d'Ivoire,1480.0,1570.0,1530.0,1680.0,1900.0,1770.0,1900.0,1920.0,2070.0,2180.0,2310.0,2420.0,2420.0,2450.0,2440.0,2520.0,2730.0,2820.0,3020.0,2980.0,2550.0,2540.0,2460.0,2270.0,2140.0,2150.0,2150.0,2070.0,2020.0,2010.0,1910.0,1840.0,1770.0,1700.0,1650.0,1710.0,1780.0,1880.0,1900.0,1870.0,1810.0,1730.0,1640.0,1520.0,1530.0,1510.0,1520.0,1510.0,1550.0,1570.0,1640.0,1520.0,1600.0,1740.0,1860.0,1940.0,2030.0,2120.0,2210.0,2290.0,2280.0,2380.0
37,Cameroon,943.0,939.0,949.0,962.0,973.0,969.0,990.0,860.0,892.0,912.0,916.0,923.0,923.0,946.0,1020.0,1100.0,1010.0,1120.0,1330.0,1380.0,1300.0,1470.0,1550.0,1620.0,1690.0,1770.0,1830.0,1740.0,1550.0,1480.0,1350.0,1260.0,1180.0,1060.0,1050.0,1050.0,1060.0,1080.0,1110.0,1120.0,1140.0,1160.0,1180.0,1210.0,1260.0,1250.0,1260.0,1280.0,1280.0,1280.0,1280.0,1280.0,1310.0,1330.0,1370.0,1400.0,1420.0,1430.0,1450.0,1450.0,1420.0,1430.0
38,"Congo, Dem. Rep.",1250.0,1090.0,1290.0,1320.0,1250.0,1230.0,1280.0,1230.0,1240.0,1320.0,1280.0,1320.0,1290.0,1360.0,1360.0,1260.0,1160.0,1140.0,1050.0,1020.0,1010.0,1000.0,972.0,959.0,983.0,958.0,974.0,970.0,944.0,904.0,817.0,724.0,629.0,527.0,483.0,466.0,453.0,421.0,404.0,376.0,340.0,323.0,322.0,331.0,342.0,352.0,359.0,370.0,380.0,379.0,393.0,406.0,421.0,441.0,466.0,482.0,477.0,478.0,489.0,495.0,487.0,501.0
